Sample in Buffer	Sample in Window	adc_data_ch0	adc_data_ch1	adc_data_ch2	adc_data_ch3
0	0	2448	1462	1761	1705	
1	1	1453	-1969	-1462	-1534	
2	2	-1913	-1849	-2015	-2033	
3	3	-1851	1667	1158	1180	
4	4	1607	2409	2439	2408	
5	5	2363	-798	-250	-326	
6	6	-761	-2532	-2393	-2429	
7	7	-2490	344	-160	-143	
8	8	297	2704	2481	2472	
9	9	2638	599	1034	973	
10	10	606	-2451	-2055	-2117	
11	11	-2386	-1076	-1408	-1402	
12	12	-1084	2307	1879	1887	
13	13	2236	1839	2051	2000	
14	14	1813	-1633	-1094	-1166	
15	15	-1581	-2158	-2222	-2243	
16	16	-2135	1257	740	759	
17	17	1200	2586	2530	2499	
18	18	2532	-341	188	110	
19	19	-310	-2596	-2364	-2409	
20	20	-2547	-144	-598	-590	
21	21	-182	2641	2355	2344	
22	22	2573	1040	1419	1358	
23	23	1046	-2251	-1795	-1860	
24	24	-2197	-1494	-1744	-1744	
25	25	-1483	2019	1547	1561	
26	26	1951	2146	2281	2241	
27	27	2122	-1230	-688	-760	
28	28	-1194	-2384	-2354	-2378	
29	29	-2354	810	296	311	
30	30	759	2672	2542	2515	
31	31	2625	131	618	548	
32	32	156	-2566	-2246	-2299	
33	33	-2515	-618	-1016	-1011	
34	34	-639	2513	2152	2155	
35	35	2451	1456	1758	1703	
36	36	1454	-1980	-1470	-1543	
37	37	-1924	-1862	-2019	-2022	
38	38	-1848	1672	1163	1173	
39	39	1604	2407	2437	2406	
40	40	2362	-796	-249	-330	
41	41	-756	-2532	-2401	-2436	
42	42	-2492	338	-165	-144	
43	43	296	2705	2482	2465	
44	44	2642	598	1032	967	
45	45	611	-2444	-2059	-2113	
46	46	-2399	-1074	-1408	-1408	
47	47	-1082	2303	1875	1892	
48	48	2234	1832	2056	2007	
49	49	1811	-1630	-1098	-1170	
50	50	-1584	-2163	-2227	-2244	
51	51	-2139	1257	735	749	
52	52	1199	2586	2533	2494	
53	53	2533	-349	188	110	
54	54	-311	-2598	-2360	-2414	
55	55	-2548	-146	-603	-590	
56	56	-176	2647	2354	2345	
57	57	2581	1042	1408	1353	
58	58	1040	-2249	-1791	-1856	
59	59	-2198	-1489	-1742	-1744	
60	60	-1490	2023	1549	1553	
61	61	1954	2153	2281	2238	
62	62	2120	-1240	-684	-759	
63	63	-1192	-2388	-2350	-2375	
64	64	-2353	815	293	312	
65	65	761	2678	2546	2522	
66	66	2630	132	622	548	
67	67	154	-2568	-2250	-2303	
68	68	-2515	-620	-1021	-1015	
69	69	-642	2513	2151	2150	
70	70	2444	1461	1761	1702	
71	71	1452	-1974	-1463	-1537	
72	72	-1922	-1857	-2014	-2027	
73	73	-1848	1674	1166	1177	
74	74	1605	2403	2443	2408	
75	75	2364	-801	-257	-331	
76	76	-768	-2529	-2391	-2436	
77	77	-2497	338	-157	-140	
78	78	301	2701	2483	2470	
79	79	2639	596	1032	964	
80	80	603	-2448	-2055	-2114	
81	81	-2398	-1076	-1406	-1403	
82	82	-1083	2304	1881	1887	
83	83	2241	1834	2060	2003	
84	84	1812	-1639	-1094	-1164	
85	85	-1586	-2162	-2224	-2243	
86	86	-2136	1269	739	761	
87	87	1206	2580	2529	2499	
88	88	2536	-344	184	112	
89	89	-311	-2595	-2363	-2410	
90	90	-2545	-140	-601	-592	
