Sample in Buffer	Sample in Window	adc_data_ch0	adc_data_ch1	adc_data_ch2	adc_data_ch3
0	0	1437	1409	1398	1300	
1	1	177	71	295	-39	
2	2	-1289	-1283	-1222	-1208	
3	3	-423	-305	-535	-179	
4	4	1284	1317	1180	1274	
5	5	855	758	926	615	
6	6	-944	-992	-828	-990	
7	7	-1023	-933	-1075	-782	
8	8	777	864	640	895	
9	9	1323	1266	1332	1128	
10	10	-315	-411	-187	-477	
11	11	-1313	-1263	-1291	-1150	
12	12	77	190	-58	293	
13	13	1430	1425	1363	1336	
14	14	418	313	526	190	
15	15	-1217	-1228	-1129	-1174	
16	16	-647	-537	-740	-388	
17	17	1148	1200	1034	1182	
18	18	1040	960	1100	812	
19	19	-761	-827	-630	-852	
20	20	-1156	-1077	-1184	-938	
21	21	552	657	420	716	
22	22	1400	1357	1387	1225	
23	23	-73	-170	52	-268	
24	24	-1323	-1296	-1280	-1200	
25	25	-186	-62	-311	60	
26	26	1380	1397	1295	1327	
27	27	635	539	734	397	
28	28	-1099	-1129	-1002	-1103	
29	29	-843	-738	-918	-593	
30	30	981	1049	850	1056	
31	31	1198	1123	1228	978	
32	32	-551	-630	-418	-668	
33	33	-1252	-1194	-1260	-1061	
34	34	322	424	178	513	
35	35	1439	1411	1397	1303	
36	36	167	67	289	-45	
37	37	-1293	-1286	-1228	-1209	
38	38	-417	-296	-531	-165	
39	39	1283	1314	1177	1271	
40	40	849	755	930	613	
41	41	-944	-994	-824	-989	
42	42	-1016	-926	-1070	-784	
43	43	774	859	639	899	
44	44	1318	1258	1333	1124	
45	45	-324	-413	-186	-483	
46	46	-1312	-1268	-1294	-1150	
47	47	78	194	-52	297	
48	48	1426	1420	1365	1329	
49	49	411	309	524	179	
50	50	-1215	-1228	-1128	-1172	
51	51	-638	-532	-732	-384	
52	52	1148	1198	1031	1183	
53	53	1039	954	1098	809	
54	54	-761	-831	-638	-854	
55	55	-1154	-1077	-1184	-938	
56	56	558	656	424	718	
57	57	1396	1354	1382	1229	
58	58	-78	-176	52	-275	
59	59	-1324	-1302	-1282	-1197	
60	60	-173	-57	-297	70	
61	61	1372	1391	1297	1327	
62	62	631	533	733	401	
63	63	-1099	-1137	-999	-1100	
64	64	-845	-735	-920	-591	
65	65	977	1046	854	1055	
66	66	1202	1129	1240	981	
67	67	-547	-633	-416	-679	
68	68	-1256	-1196	-1262	-1063	
69	69	315	424	178	510	
70	70	1431	1413	1398	1296	
71	71	164	60	291	-52	
72	72	-1292	-1284	-1228	-1206	
73	73	-418	-297	-527	-165	
74	74	1283	1321	1189	1273	
75	75	860	761	934	616	
76	76	-947	-996	-835	-996	
77	77	-1016	-927	-1070	-778	
78	78	788	869	654	914	
79	79	1316	1259	1331	1122	
80	80	-312	-404	-181	-477	
81	81	-1307	-1267	-1298	-1150	
82	82	73	190	-60	291	
83	83	1427	1424	1366	1333	
84	84	408	309	523	180	
85	85	-1212	-1230	-1132	-1174	
