Sample in Buffer	Sample in Window	adc_data_ch0
0	0	-1909	
1	1	1530	
2	2	2403	
3	3	-681	
4	4	-2511	
5	5	210	
6	6	2631	
7	7	689	
8	8	-2365	
9	9	-1169	
10	10	2185	
11	11	1872	
12	12	-1512	
13	13	-2192	
14	14	1118	
15	15	2550	
16	16	-229	
17	17	-2556	
18	18	-270	
19	19	2554	
20	20	1122	
21	21	-2153	
22	22	-1561	
23	23	1897	
24	24	2173	
25	25	-1117	
26	26	-2395	
27	27	670	
28	28	2631	
29	29	239	
30	30	-2506	
31	31	-730	
32	32	2407	
33	33	1520	
34	34	-1869	
35	35	-1908	
36	36	1530	
37	37	2399	
38	38	-682	
39	39	-2515	
40	40	205	
41	41	2632	
42	42	688	
43	43	-2369	
44	44	-1172	
45	45	2186	
46	46	1874	
47	47	-1516	
48	48	-2188	
49	49	1120	
50	50	2554	
51	51	-230	
52	52	-2555	
53	53	-268	
54	54	2558	
55	55	1118	
56	56	-2152	
57	57	-1568	
58	58	1892	
59	59	2162	
60	60	-1112	
61	61	-2389	
62	62	674	
63	63	2631	
64	64	235	
65	65	-2504	
66	66	-734	
67	67	2407	
68	68	1517	
69	69	-1869	
70	70	-1910	
71	71	1529	
72	72	2393	
73	73	-687	
74	74	-2516	
75	75	214	
76	76	2632	
77	77	693	
78	78	-2363	
79	79	-1167	
80	80	2189	
81	81	1872	
82	82	-1517	
83	83	-2189	
84	84	1122	
85	85	2552	
86	86	-223	
87	87	-2548	
88	88	-264	
89	89	2555	
90	90	1124	
91	91	-2153	
92	92	-1569	
93	93	1887	
94	94	2163	
95	95	-1118	
96	96	-2401	
97	97	674	
98	98	2637	
99	99	239	
100	100	-2505	
101	101	-733	
102	102	2413	
103	103	1521	
104	104	-1865	
105	105	-1909	
106	106	1528	
107	107	2397	
108	108	-686	
109	109	-2515	
110	110	203	
111	111	2628	
112	112	697	
113	113	-2368	
114	114	-1169	
115	115	2188	
116	116	1874	
117	117	-1517	
118	118	-2191	
119	119	1119	
120	120	2559	
121	121	-220	
122	122	-2552	
123	123	-266	
124	124	2558	
125	125	1114	
126	126	-2151	
127	127	-1565	
128	128	1894	
129	129	2170	
130	130	-1111	
131	131	-2390	
132	132	672	
133	133	2635	
134	134	241	
135	135	-2504	
136	136	-732	
137	137	2410	
138	138	1517	
139	139	-1866	
140	140	-1907	
141	141	1531	
142	142	2400	
143	143	-683	
144	144	-2519	
145	145	203	
146	146	2633	
147	147	690	
148	148	-2372	
149	149	-1168	
150	150	2187	
151	151	1875	
152	152	-1516	
153	153	-2191	
154	154	1119	
155	155	2549	
156	156	-226	
157	157	-2555	
158	158	-273	
159	159	2552	
160	160	1123	
161	161	-2149	
162	162	-1569	
163	163	1894	
164	164	2168	
165	165	-1113	
166	166	-2387	
167	167	666	
168	168	2627	
169	169	237	
170	170	-2501	
171	171	-735	
172	172	2413	
173	173	1515	
174	174	-1870	
175	175	-1919	
176	176	1526	
177	177	2397	
178	178	-678	
179	179	-2519	
180	180	206	
181	181	2629	
182	182	692	
183	183	-2368	
184	184	-1169	
185	185	2182	
186	186	1874	
187	187	-1515	
188	188	-2189	
189	189	1123	
190	190	2550	
191	191	-226	
192	192	-2549	
193	193	-274	
194	194	2558	
195	195	1125	
196	196	-2148	
197	197	-1571	
198	198	1891	
199	199	2171	
200	200	-1116	
201	201	-2388	
202	202	671	
203	203	2627	
204	204	239	
205	205	-2504	
206	206	-727	
207	207	2412	
208	208	1520	
209	209	-1868	
210	210	-1911	
211	211	1527	
212	212	2401	
213	213	-681	
214	214	-2514	
215	215	204	
216	216	2632	
217	217	693	
218	218	-2372	
219	219	-1171	
220	220	2185	
221	221	1871	
222	222	-1519	
223	223	-2188	
224	224	1120	
225	225	2559	
226	226	-225	
227	227	-2551	
228	228	-271	
229	229	2558	
230	230	1128	
231	231	-2155	
232	232	-1569	
233	233	1890	
234	234	2168	
235	235	-1120	
236	236	-2395	
237	237	671	
238	238	2630	
239	239	242	
240	240	-2506	
241	241	-733	
242	242	2412	
243	243	1517	
244	244	-1864	
245	245	-1910	
246	246	1525	
247	247	2401	
248	248	-686	
249	249	-2520	
250	250	205	
251	251	2634	
252	252	691	
253	253	-2364	
254	254	-1169	
255	255	2192	
256	256	1875	
257	257	-1518	
258	258	-2190	
259	259	1120	
260	260	2554	
261	261	-223	
